SKU,forecast_week,predicted_demand,baseline_prediction,model_prediction,selected_model
SKU001,2026-01-05,100,100,82.67600133895175,Seasonal-Naive Baseline
SKU001,2026-01-12,89,89,57.44144355943361,Seasonal-Naive Baseline
SKU001,2026-01-19,103,103,65.39464146411602,Seasonal-Naive Baseline
SKU001,2026-01-26,100,100,55.74138090018836,Seasonal-Naive Baseline
SKU001,2026-02-02,106,106,94.87781973549201,Seasonal-Naive Baseline
SKU001,2026-02-09,124,124,94.50725569946361,Seasonal-Naive Baseline
SKU002,2026-01-05,63,63,51.391723446759165,Seasonal-Naive Baseline
SKU002,2026-01-12,67,67,53.681716423485796,Seasonal-Naive Baseline
SKU002,2026-01-19,66,66,46.4559504338934,Seasonal-Naive Baseline
SKU002,2026-01-26,85,85,47.927406470867474,Seasonal-Naive Baseline
SKU002,2026-02-02,71,71,72.39642716420342,Seasonal-Naive Baseline
SKU002,2026-02-09,79,79,70.66365068890164,Seasonal-Naive Baseline
SKU003,2026-01-05,34,34,33.346284748829376,Seasonal-Naive Baseline
SKU003,2026-01-12,41,41,29.10322615041665,Seasonal-Naive Baseline
SKU003,2026-01-19,23,23,27.31468384702931,Seasonal-Naive Baseline
SKU003,2026-01-26,40,40,16.67653759793951,Seasonal-Naive Baseline
SKU003,2026-02-02,34,34,39.580902332030966,Seasonal-Naive Baseline
SKU003,2026-02-09,47,47,41.48318564550348,Seasonal-Naive Baseline
SKU004,2026-01-05,35,35,35.29144216714566,Seasonal-Naive Baseline
SKU004,2026-01-12,24,24,25.784775155731943,Seasonal-Naive Baseline
SKU004,2026-01-19,38,38,27.466634796886805,Seasonal-Naive Baseline
SKU004,2026-01-26,34,34,13.219394257193011,Seasonal-Naive Baseline
SKU004,2026-02-02,32,32,35.57634264439619,Seasonal-Naive Baseline
SKU004,2026-02-09,37,37,34.09345884001925,Seasonal-Naive Baseline
SKU005,2026-01-05,97,97,107.85721275289937,Seasonal-Naive Baseline
SKU005,2026-01-12,133,133,90.29813409557376,Seasonal-Naive Baseline
SKU005,2026-01-19,110,110,91.47058826967849,Seasonal-Naive Baseline
SKU005,2026-01-26,107,107,79.50473564506706,Seasonal-Naive Baseline
SKU005,2026-02-02,123,123,127.94067819394121,Seasonal-Naive Baseline
SKU005,2026-02-09,132,132,133.97315289750915,Seasonal-Naive Baseline
SKU006,2026-01-05,50,50,42.50021867213224,Seasonal-Naive Baseline
SKU006,2026-01-12,46,46,29.714443115254923,Seasonal-Naive Baseline
SKU006,2026-01-19,51,51,34.70227161614434,Seasonal-Naive Baseline
SKU006,2026-01-26,47,47,21.37014762674808,Seasonal-Naive Baseline
SKU006,2026-02-02,46,46,46.93473341369134,Seasonal-Naive Baseline
SKU006,2026-02-09,45,45,44.268048911284076,Seasonal-Naive Baseline
SKU007,2026-01-05,171,171,153.00381387693008,Seasonal-Naive Baseline
SKU007,2026-01-12,156,156,121.74042243697629,Seasonal-Naive Baseline
SKU007,2026-01-19,179,179,134.71675652580333,Seasonal-Naive Baseline
SKU007,2026-01-26,178,178,105.47689730819569,Seasonal-Naive Baseline
SKU007,2026-02-02,179,179,175.84615072670096,Seasonal-Naive Baseline
SKU007,2026-02-09,171,171,177.80973707991723,Seasonal-Naive Baseline
SKU008,2026-01-05,105,105,103.3967119073946,Seasonal-Naive Baseline
SKU008,2026-01-12,111,111,94.858744129222,Seasonal-Naive Baseline
SKU008,2026-01-19,106,106,82.34815826074718,Seasonal-Naive Baseline
SKU008,2026-01-26,121,121,63.76422397181989,Seasonal-Naive Baseline
SKU008,2026-02-02,134,134,122.3654543164551,Seasonal-Naive Baseline
SKU008,2026-02-09,122,122,131.71018342429576,Seasonal-Naive Baseline
SKU009,2026-01-05,55,55,78.40543971117357,Seasonal-Naive Baseline
SKU009,2026-01-12,70,70,65.64271813908121,Seasonal-Naive Baseline
SKU009,2026-01-19,71,71,60.74212612025961,Seasonal-Naive Baseline
SKU009,2026-01-26,69,69,33.98281440665927,Seasonal-Naive Baseline
SKU009,2026-02-02,86,86,81.86424563982666,Seasonal-Naive Baseline
SKU009,2026-02-09,74,74,78.68194875798426,Seasonal-Naive Baseline
SKU010,2026-01-05,118,118,104.71692606014747,Seasonal-Naive Baseline
SKU010,2026-01-12,113,113,69.56229385363011,Seasonal-Naive Baseline
SKU010,2026-01-19,118,118,74.47051186485197,Seasonal-Naive Baseline
SKU010,2026-01-26,97,97,65.6684707002066,Seasonal-Naive Baseline
SKU010,2026-02-02,124,124,128.29075575647187,Seasonal-Naive Baseline
SKU010,2026-02-09,128,128,136.28187241877012,Seasonal-Naive Baseline
SKU011,2026-01-05,21,21,18.861211089200538,Seasonal-Naive Baseline
SKU011,2026-01-12,19,19,17.26386101859879,Seasonal-Naive Baseline
