SKU,Product_Name,year,month,Current_Stock,On_Order,Safety_Stock,Reorder_Point,Inventory_Value,Avg_Daily_Demand,Days_of_Stock_On_Hand
SKU001,Product 001,2025,12,771,147,159,289,2815160.01,14.366621067031463,53.66606360693201
SKU002,Product 002,2025,12,526,29,94,149,2974319.6,10.13953488372093,51.87614678899082
SKU003,Product 003,2025,12,349,12,88,123,2145941.67,5.764705882352941,60.54081632653061
SKU004,Product 004,2025,12,259,254,98,196,321905.92,4.623803009575924,56.014497041420114
SKU005,Product 005,2025,12,471,291,129,245,3500674.53,16.683994528043776,28.230649393243684
SKU006,Product 006,2025,12,359,485,129,340,2378877.6,6.54719562243502,54.83263685750104
SKU007,Product 007,2025,12,207,460,98,237,941442.21,24.800273597811216,8.346682111534006
SKU008,Product 008,2025,12,325,155,91,161,2165845.5,16.339261285909714,19.890740120562622
SKU009,Product 009,2025,12,75,89,63,131,224818.5,10.711354309165527,7.00191570881226
SKU010,Product 010,2025,12,83,70,22,60,595250.27,17.046511627906977,4.869031377899045
SKU011,Product 011,2025,12,753,269,179,247,2911918.77,2.6689466484268127,282.13377754997435
SKU012,Product 012,2025,12,47,60,16,58,67949.78,26.08344733242134,1.8019090575339594
SKU013,Product 013,2025,12,151,95,32,61,1169978.2,14.075239398084815,10.728059092234426
SKU014,Product 014,2025,12,309,334,130,299,964407.54,21.59233926128591,14.310631018753167
SKU015,Product 015,2025,12,187,245,119,265,235038.43,4.095759233926128,45.656980627922515
SKU016,Product 016,2025,12,255,187,30,129,512180.25,13.875512995896033,18.377698905649215
SKU017,Product 017,2025,12,95,26,108,274,636809.7,14.191518467852257,6.694139194139194
SKU018,Product 018,2025,12,235,102,66,184,627647.4,25.23939808481532,9.310840108401084
SKU019,Product 019,2025,12,227,114,25,126,738421.92,16.146374829001367,14.058883334745405
SKU020,Product 020,2025,12,1002,353,129,227,5550418.68,13.868673050615595,72.24916157032946
SKU021,Product 021,2025,12,88,97,36,88,27021.28,8.533515731874145,10.312279576787432
SKU022,Product 022,2025,12,95,194,76,163,513246.05,10.151846785225718,9.357903247540763
SKU023,Product 023,2025,12,130,79,41,148,494858.0,14.815321477428181,8.774699907663896
SKU024,Product 024,2025,12,341,18,60,259,454699.63,13.071135430916552,26.088016745159603
SKU025,Product 025,2025,12,1124,61,121,582,4384724.0,2.7031463748290014,415.81174089068827
SKU026,Product 026,2025,12,160,70,31,59,988598.4,22.61969904240766,7.07348049591775
SKU027,Product 027,2025,12,567,103,83,133,2599048.62,24.236662106703147,23.394310549190042
SKU028,Product 028,2025,12,174,55,114,337,85058.16,5.610123119015048,31.015362106803217
SKU029,Product 029,2025,12,261,520,196,329,891602.1,15.772913816689467,16.547354726799654
SKU030,Product 030,2025,12,166,32,43,104,342462.98,4.778385772913817,34.73976524477526
SKU031,Product 031,2025,12,93,40,28,113,234857.55,18.77017783857729,4.954668027111727
SKU032,Product 032,2025,12,278,214,60,185,1269626.0,9.331053351573187,29.79299222987832
SKU033,Product 033,2025,12,208,168,55,183,707096.0,18.09028727770178,11.497882637628553
SKU034,Product 034,2025,12,34,103,34,58,52497.36,20.151846785225718,1.687190279003462
SKU035,Product 035,2025,12,670,76,137,304,3918347.6,21.288645690834475,31.47217581287752
SKU036,Product 036,2025,12,383,135,77,129,574446.38,4.79890560875513,79.80986316989737
SKU037,Product 037,2025,12,355,687,315,644,2004500.4,24.835841313269494,14.29385844120077
SKU038,Product 038,2025,12,159,310,56,175,509262.69,7.7168262653898765,20.604325474206703
SKU039,Product 039,2025,12,93,35,17,31,284026.65,3.146374829001368,29.557826086956524
SKU040,Product 040,2025,12,67,29,36,93,78024.85,15.59233926128591,4.296981926653799
SKU041,Product 041,2025,12,440,40,78,139,2496001.2,11.153214774281805,39.450509015086475
SKU042,Product 042,2025,12,90,120,41,88,698500.8,22.730506155950753,3.9594366875300913
SKU043,Product 043,2025,12,559,211,142,393,2086495.45,22.265389876880985,25.106230031948883
SKU044,Product 044,2025,12,223,39,55,93,222337.69,9.774281805745554,22.814975507347796
SKU045,Product 045,2025,12,307,142,88,142,558224.24,25.461012311901506,12.057650977863743
SKU046,Product 046,2025,12,119,182,46,96,563935.05,9.248974008207934,12.866291968643692
SKU047,Product 047,2025,12,201,129,44,99,1231834.53,14.853625170998631,13.532050101307792
SKU048,Product 048,2025,12,106,50,22,31,381464.32,8.44733242134063,12.54834008097166
SKU049,Product 049,2025,12,780,599,206,344,4123321.8,25.13406292749658,31.033581886463836
SKU050,Product 050,2025,12,328,525,69,316,1138983.28,6.20656634746922,52.8472558959665
