Date,SKU,Units_Sold,Revenue,Price,Promotion,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promotion_event,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value
2024-01-01,SKU001,5,18320.25,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Monday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-02,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Tuesday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-03,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Wednesday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-04,SKU001,23,84273.15,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Thursday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-05,SKU001,16,58624.8,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Friday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-06,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Saturday,1,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-07,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Sunday,1,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-08,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Monday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-09,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Tuesday,0,Winter,None,0,None,16,23,11,7,18,58420.96
2024-01-10,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Wednesday,0,Winter,None,0,None,16,23,11,7,18,58420.96
