SKU,Product_Name,Category,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,forward_demand_6w,lead_time_demand,projected_stock_after_lead,estimated_units_short,excess_inventory,inventory_coverage_weeks,stockout_risk,overstock_risk,risk_action,sales_at_risk_rs,capital_locked_rs,total_rupee_impact_rs,stockout_severity,overstock_severity,rupee_severity,priority_score
SKU012,Product 012,Home Decor,47,60,12,16,58,1135,374,-267,283,0.0,0.24845814977973568,True,False,REORDER NOW,2484561.7100000004,0.0,2484561.7100000004,16.647058823529413,0.0,1.0,17.647058823529413
SKU025,Product 025,Storage,1124,61,14,121,582,115,33,1152,0,894.0,58.643478260869564,False,True,MARKDOWN / CLEAR,0.0,1191773.52,1191773.52,0.0,7.706896551724138,0.47967153128186935,8.186568083006007
SKU031,Product 031,Furniture,93,40,13,28,113,863,277,-144,172,0.0,0.6465816917728853,True,False,REORDER NOW,1499139.96,0.0,1499139.96,5.931034482758621,0.0,0.6033820588823289,6.53441654164095
SKU011,Product 011,Furniture,753,269,3,179,247,109,21,1001,0,535.0,41.449541284403665,False,True,MARKDOWN / CLEAR,0.0,919344.0,919344.0,0.0,4.863636363636363,0.37002260652241953,5.233658970158783
SKU040,Product 040,Storage,67,29,9,36,93,665,227,-131,167,0.0,0.6045112781954888,True,False,REORDER NOW,409243.52,0.0,409243.52,4.513513513513513,0.0,0.16471457253520982,4.678228086048723
SKU010,Product 010,Storage,83,70,13,22,60,698,231,-78,100,0.0,0.7134670487106017,True,False,REORDER NOW,66346.0,0.0,66346.0,4.3478260869565215,0.0,0.02670330132391841,4.37452938828044
SKU017,Product 017,Home Decor,95,26,12,108,274,590,203,-82,190,0.0,0.9661016949152543,True,False,REORDER NOW,1610690.8,0.0,1610690.8,1.7431192660550459,0.0,0.6482796517056523,2.3913989177606982
SKU018,Product 018,Kitchen,235,102,8,66,184,1038,336,1,65,0.0,1.3583815028901733,True,False,REORDER NOW,362401.64999999997,0.0,362401.64999999997,0.9701492537313433,0.0,0.14586140023867628,1.1160106539700196
SKU023,Product 023,Kitchen,130,79,12,41,148,606,206,3,38,0.0,1.2871287128712872,True,False,REORDER NOW,53836.12,0.0,53836.12,0.9047619047619048,0.0,0.02166825633000679,0.9264301610919116
SKU034,Product 034,Lighting,34,103,5,34,58,857,128,9,25,0.0,0.2380396732788798,True,False,REORDER NOW,37953.5,0.0,37953.5,0.7142857142857143,0.0,0.015275732475165607,0.7295614467608799
SKU009,Product 009,Lighting,75,89,7,63,131,425,55,109,0,0.0,1.0588235294117647,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU008,Product 008,Kitchen,325,155,3,91,161,699,105,375,0,0.0,2.7896995708154506,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU007,Product 007,Home Decor,207,460,8,98,237,1034,327,340,0,0.0,1.2011605415860733,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU001,Product 001,Furniture,771,147,4,159,289,622,100,818,0,0.0,7.437299035369775,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU002,Product 002,Home Decor,526,29,3,94,149,431,63,492,0,0.0,7.322505800464038,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU003,Product 003,Kitchen,349,12,3,88,123,219,34,327,0,0.0,9.561643835616438,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU005,Product 005,Storage,471,291,6,129,245,702,97,665,0,0.0,4.0256410256410255,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU004,Product 004,Lighting,259,254,6,98,196,200,35,478,0,0.0,7.77,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU015,Product 015,Storage,187,245,9,119,265,181,52,380,0,0.0,6.198895027624309,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU016,Product 016,Furniture,255,187,11,30,129,573,173,269,0,0.0,2.670157068062827,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU013,Product 013,Kitchen,151,95,4,32,61,563,93,153,0,0.0,1.6092362344582594,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU014,Product 014,Lighting,309,334,10,130,299,937,275,368,0,0.0,1.9786552828175028,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKU006,Product 006,Furniture,359,485,13,129,340,285,96,748,0,0.0,7.557894736842106,False,False,HEALTHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
