SKU,Product_Name,Units_Sold,Revenue,Revenue_Share_%,Coefficient_of_Variation,Gross_Margin_Per_Unit
SKU026,Product 026,16535,180885293.9,5.842441240762024,0.28439967550930584,9140.25
SKU035,Product 035,15562,169161896.78,5.463785478654661,0.2804647984547343,9732.58
SKU012,Product 012,19067,167396247.79,5.406756517076453,0.2683540896855877,7522.48
SKU042,Product 042,16616,152847759.28,4.936852704395215,0.2680880640951842,4614.97
SKU027,Product 027,17717,150888602.2,4.873573595991571,0.26083398628885207,8209.54
SKU045,Product 045,18612,142880229.35999998,4.614909960363565,0.27635468019781606,4042.22
SKU043,Product 043,16276,142346152.52,4.597659732396019,0.2772224465979669,6140.16
SKU029,Product 029,11530,134237448.5,4.335755484935352,0.29590796900266964,6239.86
SKU031,Product 031,13721,119591275.53,3.862696547227747,0.2830345955479791,2415.28
SKU008,Product 008,11944,117560492.16,3.797103970539335,0.3012275749480299,7067.49
SKU005,Product 005,12196,115779311.11999999,3.7395733369483444,0.28804964981501,3949.59
SKU018,Product 018,18450,102866314.5,3.3224945221486384,0.25881909069676606,-101.64
SKU049,Product 049,18373,95968977.01,3.099716383947377,0.2504012154232233,3160.34
SKU007,Product 007,18129,92713337.61,2.9945619986156142,0.2633077040272573,-2634.11
SKU017,Product 017,10374,87943717.68,2.8405073290458596,0.31531280709721776,1774.06
SKU047,Product 047,10858,86193192.76,2.783966862073217,0.30987448366565706,4522.12
SKU041,Product 041,8153,84275359.69,2.7220224840672325,0.35408046692623346,5796.49
SKU013,Product 013,10289,59241798.42,1.913459733532923,0.32131072197864274,1821.07
SKU019,Product 019,11803,56888689.55,1.8374563171706662,0.3148943621823053,2149.01
SKU037,Product 037,18155,49879410.1,1.61106254881189,0.259039485635857,-1153.58
SKU046,Product 046,6761,48513825.94,1.5669553411882227,0.3686933158476836,5262.51
SKU021,Product 021,6238,48102964.64,1.5536848704296649,0.3688906888526575,1224.36
SKU033,Product 033,13224,47050992.0,1.5197070483327115,0.3104039837250203,-1099.74
SKU020,Product 020,10138,39513260.519999996,1.276244728588308,0.3065130595692404,-2802.47
SKU006,Product 006,4786,38795507.44,1.2530619141932682,0.42907852527543505,2084.13
SKU044,Product 044,7145,38670740.6,1.249032051312881,0.36089964569817906,4923.44
SKU001,Product 001,10502,38479853.1,1.242866547316948,0.33057852146386796,1905.6
SKU032,Product 032,6821,38283476.39,1.2365237465038346,0.377420413799372,1805.99
SKU014,Product 014,15784,35841518.0,1.1576505661675263,0.2764692019891995,262.2
SKU022,Product 022,7421,34114559.63,1.1018712787283547,0.3721248857190412,1344.07
SKU003,Product 003,4214,34041661.22,1.0995167220488855,0.47914908869291967,7488.75
SKU030,Product 030,3493,32951250.43,1.0642973803792977,0.47710246651913496,3718.48
SKU002,Product 002,7412,28207774.28,0.9110871326813721,0.3656390330120288,-61.4
SKU040,Product 040,11398,27931482.88,0.9021631553086163,0.30253853326645935,-2718.51
SKU004,Product 004,3380,23192106.599999998,0.7490853299268079,0.5112639307550362,5415.83
SKU025,Product 025,1976,22838627.76,0.7376682638512516,0.6275363760555825,10224.93
SKU034,Product 034,14731,22363720.34,0.7223291578557923,0.29793282127192144,184.71
SKU038,Product 038,5641,22276873.1,0.7195240658238062,0.4074362215488688,-681.48
SKU016,Product 016,10143,21978055.26,0.7098725035864881,0.3178099533986654,-1471.11
SKU036,Product 036,3508,19949996.0,0.6443679133355871,0.48726039979085833,256.88
SKU015,Product 015,2994,18599087.28,0.6007347099498196,0.5362353868352657,771.06
SKU009,Product 009,7830,18297848.7,0.5910049598681265,0.3552496393771506,-784.17
SKU024,Product 024,9555,16901552.85,0.5459057907623464,0.3470511475057778,-3770.47
SKU039,Product 039,2300,16373585.0,0.5288528779791669,0.5814600430387015,940.21
SKU023,Product 023,10830,15343294.2,0.4955753608846847,0.3109239368512468,-1067.8
SKU028,Product 028,4101,14288253.09,0.461498429814926,0.4529556417426616,-2864.57
SKU048,Product 048,6175,8518721.25,0.27514745547568153,0.40349244387649996,-5484.32
SKU010,Product 010,12461,8267375.0600000005,0.2670291871825375,0.3079333969482307,-3225.6
SKU050,Product 050,4537,4004900.64,0.12935488651291746,0.4521826109794582,180.87
SKU011,Product 011,1951,2818336.56,0.09102987530647107,0.6507227684322017,-273.84
